City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Pocone,BR,-16.2567,-56.6228,79.02,85,100,2.37,overcast clouds
188,Leticia,CO,-4.2153,-69.9406,75.25,94,75,5.75,broken clouds
189,Gravdal,NO,68.1214,13.5031,26.28,64,100,11.63,overcast clouds
190,Faya,SA,18.3851,42.4509,53.71,68,11,1.05,few clouds
191,Saurimo,AO,-9.6608,20.3916,64.65,97,92,3.4,overcast clouds
192,Thyboron,DK,56.6985,8.2124,41.18,91,100,17.2,overcast clouds
193,Saint-Joseph,RE,-21.3667,55.6167,79.18,92,100,32.99,heavy intensity rain
194,Hauterive,FR,46.0901,3.4459,43.75,95,46,2.15,scattered clouds
195,Kisangani,CD,0.5167,25.2,74.53,67,100,2.8,overcast clouds
196,Brae,GB,60.3964,-1.353,46.31,90,100,9.08,overcast clouds
197,Tigre,AR,-34.426,-58.5796,88.25,55,0,12.66,clear sky
198,Comarapa,BO,-17.9,-64.4833,64.67,77,82,4.32,broken clouds
199,Yuanping,CN,38.7153,112.7575,20.1,27,0,3.15,clear sky
200,Hannibal,US,39.7084,-91.3585,18.32,85,100,15.7,overcast clouds
201,Vallenar,CL,-28.5708,-70.7581,78.15,38,0,8.32,clear sky
202,Altay,CN,47.8667,88.1167,4.15,72,11,6.78,few clouds
203,Santa Cruz,BO,-17.8,-63.1667,87.85,62,20,13.8,few clouds
204,Krasnoselkup,RU,65.7,82.4667,-23.57,100,89,5.7,overcast clouds
205,Black River,JM,18.0264,-77.8487,80.98,71,6,10.27,clear sky
206,Sao Joao Batista,BR,-27.2761,-48.8494,80.51,87,13,3.27,few clouds
207,Hasaki,JP,35.7333,140.8333,23.4,50,36,10.02,scattered clouds
208,Nome,US,64.5011,-165.4064,10.47,57,0,35.68,clear sky
209,Perpignan,FR,42.75,2.75,52.0,55,0,2.3,clear sky
210,Takestan,IR,36.0696,49.6959,32.13,56,5,1.63,clear sky
211,Portland,US,45.5234,-122.6762,46.81,92,100,3.0,overcast clouds
212,Pangkalanbuun,ID,-2.6833,111.6167,72.61,98,100,1.41,light rain
213,Yongan,CN,39.6957,113.6871,12.18,50,0,2.04,clear sky
214,Kathu,TH,7.9178,98.3332,78.62,80,34,10.65,scattered clouds
215,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,83.71,59,20,4.0,few clouds
216,North Bend,US,43.4065,-124.2243,52.25,97,100,5.75,overcast clouds
217,Hami,CN,42.8,93.45,21.58,35,2,1.88,clear sky
218,Toamasina,MG,-18.1667,49.3833,77.0,78,40,11.5,scattered clouds
219,Mosetse,BW,-20.75,26.65,75.83,66,98,2.91,overcast clouds
220,Georgetown,MY,5.4112,100.3354,80.53,89,20,3.44,few clouds
221,Mangai,CD,-4.05,19.5333,72.57,91,98,0.67,light rain
222,Alihe,CN,50.5667,123.7167,-11.38,97,61,3.31,broken clouds
223,Nosy Varika,MG,-20.5833,48.5333,73.26,90,73,10.74,broken clouds
224,Magadan,RU,59.5667,150.8,12.38,80,100,8.77,overcast clouds
225,Cherdyn,RU,60.403,56.4787,21.2,95,100,7.65,overcast clouds
226,Bereda,ES,43.2686,-7.5406,49.91,93,94,2.19,overcast clouds
227,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,94,75,3.44,broken clouds
228,Nizhnevartovsk,RU,60.9344,76.5531,21.22,93,100,8.95,overcast clouds
229,Wanning,CN,18.8003,110.3967,63.05,93,66,10.92,broken clouds
230,Lorengau,PG,-2.0226,147.2712,79.75,80,100,11.45,moderate rain
231,Bahir Dar,ET,11.5936,37.3908,62.71,76,51,3.27,light rain
232,Dzhebariki-Khaya,RU,62.2167,135.8,-34.74,99,100,1.19,overcast clouds
233,Saint-Augustin,CA,51.226,-58.6502,23.79,82,100,24.43,overcast clouds
234,Dubuque,US,42.4833,-90.8668,16.72,50,0,19.57,clear sky
235,Nouadhibou,MR,20.931,-17.0347,71.58,56,1,14.97,sand
236,Reconquista,AR,-29.15,-59.65,102.92,15,14,4.61,few clouds
237,Egvekinot,RU,66.3167,-179.1667,-8.1,78,6,19.3,clear sky
238,Cervo,ES,43.6702,-7.4101,53.96,80,90,8.14,overcast clouds
239,Chimore,BO,-16.9833,-65.1333,77.45,92,94,2.13,overcast clouds
240,Chapais,CA,49.7834,-74.8492,13.78,90,100,7.87,overcast clouds
241,Gazanjyk,TM,39.2446,55.5154,46.51,47,2,11.14,clear sky
242,Ingham,US,42.6,-84.3833,28.18,92,100,10.36,light snow
243,Preobrazheniye,RU,42.9019,133.9064,11.61,71,48,9.33,scattered clouds
244,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,9.22,clear sky
245,Naze,JP,28.3667,129.4833,56.32,90,100,23.0,overcast clouds
246,Ampanihy,MG,-24.7,44.75,71.58,75,0,11.83,clear sky
247,Fare,PF,-16.7,-151.0167,81.09,73,14,16.42,few clouds
248,Bonthe,SL,7.5264,-12.505,78.51,86,20,9.01,few clouds
249,Shilka,RU,51.85,116.0333,-23.71,100,25,0.94,scattered clouds
250,Mpika,ZM,-11.8343,31.4529,61.38,97,64,2.57,light rain
251,Andenes,NO,69.3143,16.1194,22.98,63,38,17.27,scattered clouds
252,Darnah,LY,32.767,22.6367,51.12,75,37,13.8,scattered clouds
253,Boyolangu,ID,-8.1181,111.8935,74.46,90,78,2.48,broken clouds
254,Lyskovo,RU,56.0328,45.0422,8.15,97,77,3.31,broken clouds
255,Paamiut,GL,61.994,-49.6678,7.27,65,100,16.46,overcast clouds
256,Curaca,BR,-8.9903,-39.9094,89.6,28,91,8.99,overcast clouds
257,Francisco Beltrao,BR,-26.0811,-53.055,77.63,64,20,3.31,few clouds
258,Sechura,PE,-5.5569,-80.8222,80.8,53,13,18.9,few clouds
259,Caravelas,BR,-17.7125,-39.2481,78.42,84,100,5.35,overcast clouds
260,Girau Do Ponciano,BR,-9.8842,-36.8289,79.29,61,30,13.51,scattered clouds
261,Berea,US,41.3662,-81.8543,41.88,92,100,3.0,moderate rain
262,Muroto,JP,33.2833,134.15,41.04,65,99,8.72,light rain
263,Dong Hoi,VN,17.4833,106.6,64.96,91,100,11.12,overcast clouds
264,Lebu,CL,-37.6167,-73.65,63.72,79,45,11.01,scattered clouds
